rank,country,HDI,lifeExpectancy,schoolingExpected,schoolingMean,GNIPerCapita,GNIRankMinusHDIRank,HDIRank,continent
95,Guyana,0.742,66,13,8.6,"35,783",-54,105,South America
55,Brunei Darussalam,0.823,74.6,13.7,9.2,"59,246",-43,53,Asia
40,Qatar,0.875,81.6,13.3,10.1,"95,944",-38,41,Asia
122,Nauru,0.696,64,12.6,9.2,"14,939",-38,117,Oceania
49,Kuwait,0.847,80.3,15.7,7.4,"56,729",-33,50,Asia
43,San Marino,0.867,83.4,12.4,10.5,"57,687",-30,44,Europe
166,Cote d'Ivoire,0.534,58.9,10.1,4.2,"5,376",-30,166,Africa
114,Botswana,0.708,65.9,11.4,10.4,"14,842",-29,124,Africa
171,Djibouti,0.515,62.9,8,3.9,"4,875",-29,170,Africa
164,Pakistan,0.54,66.4,7.9,4.4,"5,374",-27,165,Asia
142,Namibia,0.61,58.1,11.8,7.2,"9,200",-26,139,Africa
164,Mauritania,0.54,64.7,8.1,4.8,"5,344",-26,164,Africa
92,Libya,0.746,72.2,14,7.8,"19,752",-25,90,Africa
124,Suriname,0.69,70.3,11,8.4,"12,310",-25,121,South America
133,Equatorial Guinea,0.65,61.2,12.1,8.3,"10,663",-24,133,Africa
108,Saint Lucia,0.725,71.3,12.7,8.6,"14,778",-21,109,North America
142,Eswatini,0.61,56.4,14.9,5.7,"8,392",-21,142,Africa
40,Saudi Arabia,0.875,77.9,15.2,11.3,"50,620",-18,37,Asia
110,South Africa,0.717,61.5,14.3,11.6,"13,186",-18,105,Africa
123,Gabon,0.693,65.7,12.4,9.6,"11,194",-18,123,Africa
136,Guatemala,0.629,68.7,10.8,5.7,"8,996",-17,136,North America
87,Maldives,0.762,80.8,12.2,7.8,"18,847",-16,88,Asia
20,Luxembourg,0.927,82.6,14.2,13,"78,554",-15,19,Europe
35,Andorra,0.884,83.6,12.8,11.6,"54,233",-15,43,Europe
125,Bhutan,0.681,72.2,13.1,5.8,"10,625",-15,125,Asia
161,Nigeria,0.548,53.6,10.5,7.6,"4,755",-15,162,Africa
170,Sudan,0.516,65.6,8.5,3.9,"3,515",-14,169,Africa
173,Benin,0.504,60,10.3,3.1,"3,406",-14,173,Africa
181,Guinea,0.471,59,10.2,2.4,"2,404",-14,182,Africa
59,Oman,0.819,73.9,13,11.9,"32,967",-13,58,Asia
139,Laos,0.62,69,10.2,5.9,"7,745",-13,140,Asia
188,Mali,0.41,59.4,7,1.6,"2,044",-13,188,Africa
67,Seychelles,0.802,71.7,13.9,11.2,"28,386",-12,71,Africa
70,Bulgaria,0.799,71.5,13.9,11.4,"25,921",-12,70,Europe
72,Mauritius,0.796,74,14.6,10,"23,252",-12,72,Africa
112,Indonesia,0.713,68.3,14,8.6,"12,046",-12,113,Asia
169,Senegal,0.517,67.9,9.1,2.9,"3,464",-12,170,Africa
12,Liechtenstein,0.942,84.7,15.5,12.4,"146,673",-11,14,Europe
17,United Arab Emirates,0.937,79.2,17.2,12.8,"74,104",-11,17,Asia
20,United States,0.927,78.2,16.4,13.6,"65,565",-11,21,North America
109,Lebanon,0.723,74.4,12.1,8.6,"12,313",-11,104,Asia
128,Iraq,0.673,71.3,12.2,6.8,"9,092",-11,128,Asia
150,Angola,0.591,61.9,12.2,5.8,"5,328",-11,150,Africa
145,Ghana,0.602,63.9,11.6,6.4,"5,380",-10,144,Africa
34,Bahrain,0.888,79.2,16.3,11,"48,731",-9,34,Asia
57,Bahamas,0.82,74.4,11.9,12.7,"32,535",-9,67,North America
82,Dominican Republic,0.766,74.2,13.6,9.2,"18,653",-9,84,North America
102,Paraguay,0.731,70.5,13.9,8.9,"13,161",-9,99,South America
185,Burkina Faso,0.438,59.8,8.1,2.3,"2,037",-9,185,Africa
91,Colombia,0.758,73.7,14.4,8.9,"15,014",-8,89,South America
105,Egypt,0.728,70.2,12.9,9.8,"12,361",-8,103,Africa
176,Ethiopia,0.492,65.6,9.9,2.4,"2,369",-8,176,Africa
63,Malaysia,0.807,76.3,12.9,10.7,"27,295",-7,68,Asia
77,Mexico,0.781,74.8,14.5,9.2,"19,138",-7,83,North America
89,Azerbaijan,0.76,73.5,12.7,10.6,"15,018",-7,95,Asia
127,El Salvador,0.674,71.5,11.9,7.2,"8,886",-7,127,North America
9,Singapore,0.949,84.1,16.9,11.9,"88,761",-6,10,Asia
57,Panama,0.82,76.8,13.2,10.7,"32,029",-6,57,North America
67,Kazakhstan,0.802,69.5,14.8,12.4,"22,587",-6,65,Asia
134,India,0.644,67.7,12.6,6.6,"6,951",-6,135,Asia
189,Chad,0.394,53,8.2,2.3,"1,389",-6,189,Africa
22,Austria,0.926,82.4,16.4,12.3,"56,530",-5,22,Europe
83,North Macedonia,0.765,73.9,13,10.2,"16,396",-5,82,Europe
131,Cabo Verde,0.661,74.7,11.5,6.1,"7,601",-4,132,Africa
184,Sierra Leone,0.458,60.4,9,3.5,"1,613",-4,184,Africa
7,Ireland,0.95,82.7,19.1,11.7,"87,468",-3,9,Europe
80,Bosnia and Herzegovina,0.779,75.3,13.3,10.5,"16,571",-3,77,Europe
118,Belize,0.7,71,12.4,8.8,"9,242",-3,115,North America
146,Kenya,0.601,62.1,11.4,7.7,"4,808",-3,147,Africa
168,Lesotho,0.521,53,11.1,7.5,"2,709",-3,168,Africa
189,Niger,0.394,62.1,7.2,1.3,"1,283",-3,190,Africa
193,Somalia,0.38,56.1,7.6,1.9,"1,072",-3,..,Africa
47,Hungary,0.851,75,15.1,12.2,"34,196",-2,46,Europe
71,Palau,0.797,65.4,17.2,13,"19,344",-2,64,Oceania
115,Jamaica,0.706,70.6,12.5,9.2,"9,695",-2,114,North America
154,Papua New Guinea,0.568,66,11.1,4.9,"3,710",-2,155,Oceania
157,Syrian Arab Republic,0.557,72.3,7.4,5.7,"3,594",-2,157,Asia
28,France,0.91,83.2,16,11.7,"47,379",-1,27,Europe
53,Romania,0.827,74.1,14.5,11.4,"31,641",-1,52,Europe
97,Dominica,0.74,73,13.6,9.2,"12,468",-1,97,North America
167,Tanzania,0.532,66.8,8.6,5.6,"2,578",-1,167,Africa
174,Gambia,0.495,62.9,9,4.5,"2,090",-1,174,Africa
179,Guinea-Bissau,0.483,59.9,10.5,3.7,"1,880",-1,179,Africa
42,Portugal,0.874,82.2,16.8,9.6,"35,315",0,39,Europe
75,China,0.788,78.6,15.2,8.1,"18,025",0,74,Asia
89,Brazil,0.76,73.4,15.6,8.3,"14,616",0,84,South America
104,Fiji,0.729,68.3,13.8,10.4,"11,234",0,110,Oceania
107,Viet Nam,0.726,74.6,13.1,8.5,"10,814",0,108,Asia
148,Cambodia,0.6,69.9,11.6,5.2,"4,291",0,147,Asia
191,Central African Republic,0.387,54.5,7.3,4,869,0,191,Africa
30,Italy,0.906,84.1,16.7,10.7,"44,284",1,30,Europe
56,Russian Federation,0.821,70.1,15.7,12.4,"26,992",1,55,Europe
94,Turkmenistan,0.744,69.4,13.2,11.1,"12,860",1,93,Asia
192,South Sudan,0.381,55.6,5.6,5.7,691,1,192,Africa
37,Lithuania,0.879,74.3,16.4,13.5,"38,131",2,36,Europe
45,Turkiye,0.855,78.5,19.7,8.8,"32,834",2,48,Europe
64,Costa Rica,0.806,77.3,16.1,8.8,"20,248",2,60,North America
129,Bangladesh,0.67,73.7,11.9,7.4,"6,511",2,130,Asia
138,Honduras,0.624,70.7,10,7.3,"5,272",2,138,North America
175,Eritrea,0.493,66.6,7.3,5.1,"1,957",2,174,Africa
182,Afghanistan,0.462,62.9,10.7,2.5,"1,335",2,181,Asia
186,Yemen,0.424,63.7,7.9,2.8,"1,106",2,186,Asia
51,Saint Kitts and Nevis,0.838,72,18.4,10.8,"28,442",3,51,North America
60,Trinidad and Tobago,0.814,74.7,14.1,11.7,"22,473",3,60,North America
65,Serbia,0.805,74.1,14.5,11.5,"19,494",3,60,Europe
100,Ukraine,0.734,68.6,13.3,11.1,"11,416",3,86,Europe
120,Bolivia,0.698,64.9,15,9.8,"7,988",3,119,South America
151,Cameroon,0.587,61,13.4,6.5,"3,681",3,152,Africa
